#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-07-26T09:44:39 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ51f244503a49	
#INFO	-out.max=unlimited	
#INFO	queryParameters=29	
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:VIII/15&tab:{VIII/15/pkscat90}&tab:{VIII/15/refs}&key:source=VIII/15&HTTPPRM:&&-ref=VIZ51f244503a49&-file=.&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=dec&-c.r=  2&-c.geom=r&-order=I&-out.form=verb&-out=Bname&-out=Alias&-out=RAB1950&-out=DEB1950&-out=Ident&-out=z&-out=S80&-out=S178&-out=S408&-out=S635&-out=S1410&-out=S2700&-out=S5000&-out=Jname&-out=errPos&-out=r_z&-out=Ref&-out=BibCode&-out=Authors&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=unlimited&-out.form=Tab-Separated-Values&-c.eq=J2000&-c.u=arcmin&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VIII/15/pkscat90,VIII/15/refs
#-order=I
#-out=Bname
#-out=Alias
#-out=RAB1950
#-out=DEB1950
#-out=Ident
#-out=z
#-out=S80
#-out=S178
#-out=S408
#-out=S635
#-out=S1410
#-out=S2700
#-out=S5000
#-out=Jname
#-out=errPos
#-out=r_z
#-out=Ref
#-out=BibCode
#-out=Authors
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_8015
#Name: VIII/15
#Title: Parkes Radio Sources Catalogue (PKSCAT90) (Wright+ 1990)
#Coosys	B1950:	eq_FK4 B1950
#Table	VIII_15_pkscat90:
#Name: VIII/15/pkscat90
#Title: The Catalogue
#Column	_RAJ2000	(A10)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A9)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Bname	(a10)	B1950 source name	[ucd=meta.id;meta.main]
#Column	Alias	(a7)	Alias/other catalogue names	[ucd=meta.id]
#Column	RAB1950	(A10)	Right Ascension B1950.0 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A9)	Declination B1950.0 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	Ident	(A4)	Identification of source (1)	[ucd=src.class]
#Column	z	(F6.3)	? Redshift (reference in r_z)	[ucd=src.redshift]
#Column	S80	(F8.3)	? Flux density at 80 MHz	[ucd=phot.flux.density;em.radio.20-100MHz]
#Column	S178	(F8.3)	? Flux density at 178 MHz	[ucd=phot.flux.density;em.radio.100-200MHz]
#Column	S408	(F8.3)	? Flux density at 408 MHz	[ucd=phot.flux.density;em.radio.200-400MHz]
#Column	S635	(F8.3)	? Flux density at 635 MHz	[ucd=phot.flux.density;em.radio.400-750MHz]
#Column	S1410	(F8.3)	? Flux density at 1410 MHz (21cm)	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	S2700	(F8.3)	? Flux density at 2700 MHz (11cm)	[ucd=phot.flux.density;em.radio.1500-3000MHz]
#Column	S5000	(F8.3)	? Flux density at 5000 MHz (6cm)	[ucd=phot.flux.density;em.radio.3-6GHz]
#Column	Jname	(a11)	J2000 Name	[ucd=meta.id]
#Column	errPos	(F5.2)	? positional accuracy in arcsec. (to be read as "better than")	[ucd=stat.error]
#Column	r_z	(a20)	Comma-separated references for z (see file refs.dat)	[ucd=meta.ref]
_RAJ2000	_DEJ2000	Bname	Alias	RAB1950	DEB1950	Ident	z	S80	S178	S408	S635	S1410	S2700	S5000	Jname	errPos	r_z
11 42 33.2	-18 32 11	B1140-182 	       	11 40 01.3	-18 15 32	Xs  	      	        	        	   1.930	        	        	   0.290	   0.170	J1142-1832 	20.00	
11 43 25.8	-34 36 47	B1140-343 	       	11 40 55.6	-34 20 08	Xs  	      	        	        	        	        	        	   0.260	   0.120	J1143-3436 	20.00	
11 42 31.7	-35 29 58	B1140-352 	       	11 40 01.8	-35 13 19	Xs  	      	        	        	   0.850	        	        	   0.110	        	J1142-3529 	20.00	
11 42 42.5	-44 55 18	B1140-446 	       	11 40 14.1	-44 38 39	Xg  	      	        	        	        	        	        	   0.090	        	J1142-4455 	20.00	
11 43 02.1	-47 14 15	B1140-469 	       	11 40 34.1	-46 57 36	Xs  	      	        	        	   1.750	        	        	   0.270	   0.170	J1143-4714 	20.00	
11 44 08.6	+00 54 39	B1141+011 	       	11 41 34.8	+01 11 18	G   	      	        	        	        	        	        	   0.340	   0.270	J1144+0054 	20.00	
11 44 27.8	-17 41 12	B1141-174 	OM-170 	11 41 55.6	-17 24 32	*   	      	        	        	   2.650	        	        	   0.460	   0.200	J1144-1741 	20.00	
11 44 10.8	-39 22 34	B1141-390 	       	11 41 41.1	-39 05 54	S   	      	        	        	   0.910	        	        	   0.200	        	J1144-3922 	20.00	
11 44 00.0	-42 37 01	B1141-423 	       	11 41 30.8	-42 20 21	Xs  	      	        	        	        	        	        	   0.120	        	J1143-4237 	20.00	
11 44 23.1	-44 36 43	B1141-443 	       	11 41 54.2	-44 20 03	Xs  	      	        	        	        	        	        	   0.130	        	J1144-4436 	20.00	
11 45 09.6	+00 43 38	B1142+010 	4C00.39	11 42 35.8	+01 00 18	Xs  	      	        	   3.100	   1.250	        	        	   0.150	        	J1145+0043 	20.00	
11 45 21.4	+04 55 27	B1142+052 	4C05.52	11 42 47.2	+05 12 07	Q   	 1.354	        	   2.400	   1.320	        	        	   0.600	   0.460	J1145+0455 	10.00	
11 45 06.2	+19 36 47	B1142+198 	3C264  	11 42 30.8	+19 53 27	E   	 0.021	  40.000	  26.000	  19.300	        	   5.600	   3.100	   2.360	J1145+1936 	20.00	s65b
11 44 54.0	-00 31 36	B1142-002 	4C-0.46	11 42 20.3	-00 14 56	X   	      	  10.000	   5.700	   3.250	   1.900	   0.900	   0.460	   0.220	J1144-0031 	20.00	
11 44 48.8	-14 55 04	B1142-146 	       	11 42 16.3	-14 38 24	Xs  	      	        	        	   0.990	        	        	   0.270	   0.140	J1144-1455 	20.00	
11 44 55.6	-20 57 03	B1142-206 	OM-2707	11 42 23.7	-20 40 23	Xs  	      	        	        	   1.420	        	        	   0.290	   0.180	J1144-2057 	20.00	
11 45 22.0	-22 50 32	B1142-225 	OM-271 	11 42 50.2	-22 33 52	X   	      	        	        	        	        	        	   0.540	   0.630	J1145-2250 	 0.15	
11 45 25.8	-24 34 30	B1142-242 	       	11 42 54.1	-24 17 50	Xs  	      	        	        	        	        	        	   0.230	        	J1145-2434 	20.00	
11 45 21.6	-34 25 48	B1142-341 	       	11 42 51.0	-34 09 08	D   	      	        	        	   1.210	        	        	   0.220	        	J1145-3425 	20.00	
11 45 02.5	-39 08 59	B1142-388 	       	11 42 32.6	-38 52 19	Xs  	      	        	        	        	        	        	   0.150	        	J1145-3908 	20.00	
11 44 50.0	-51 59 57	B1142-517 	       	11 42 22.3	-51 43 17	Xs  	      	        	        	   1.110	        	        	   0.200	        	J1144-5159 	20.00	
11 45 59.9	-08 49 58	B1143-085 	OM-072 	11 43 26.8	-08 33 18	Xg  	      	        	        	   1.970	        	        	   0.520	   0.270	J1145-0849 	20.00	
11 45 54.6	-14 37 28	B1143-143 	OM-172 	11 43 22.0	-14 20 48	Xs  	      	        	        	   1.660	        	        	   0.290	   0.160	J1145-1437 	20.00	
11 46 08.1	-24 47 33	B1143-245 	OM-272 	11 43 36.4	-24 30 53	Q   	 1.950	        	        	        	        	        	   1.320	   1.180	J1146-2447 	 0.15	
11 46 26.2	-28 59 19	B1143-287 	OM-273 	11 43 54.8	-28 42 39	Q   	 0.450	        	        	        	        	        	   0.430	   0.600	J1146-2859 	 0.15	
11 46 14.5	-31 57 08	B1143-316 	11-310 	11 43 43.5	-31 40 28	Xs  	      	  18.000	        	   5.770	        	   2.000	   0.730	   0.310	J1146-3157 	20.00	
11 46 28.1	-33 28 33	B1143-331 	       	11 43 57.2	-33 11 53	G   	      	  14.000	        	   3.680	        	        	   1.060	   0.710	J1146-3328 	20.00	
11 46 08.7	-35 33 13	B1143-352 	       	11 43 38.1	-35 16 33	Xs  	      	        	        	   1.580	        	        	   0.190	        	J1146-3533 	20.00	
11 45 31.1	-48 36 11	B1143-483 	11-46  	11 43 02.5	-48 19 31	Xs  	      	        	        	   7.470	        	   3.120	   1.820	   1.190	J1145-4836 	 3.00	
11 45 41.8	-54 17 47	B1143-540 	       	11 43 14.3	-54 01 07	Xs+ 	      	        	        	   1.190	        	        	   0.110	        	J1145-5417 	20.00	
11 45 44.4	-54 57 46	B1143-546 	       	11 43 17.1	-54 41 06	Xs+ 	      	        	        	   1.050	        	        	   0.120	        	J1145-5457 	20.00	
11 45 54.0	-69 54 01	B1143-696 	       	11 43 32.3	-69 37 21	Q   	      	        	        	   0.780	        	        	   0.440	   0.460	J1145-6953 	 2.00	
11 47 15.0	+25 24 08	B1144+256 	4C25.36	11 44 39.3	+25 40 48	Q?  	      	   5.000	   3.700	        	   1.600	   0.900	   0.490	   0.290	J1147+2524 	20.00	
11 46 37.3	-07 55 51	B1144-076 	OM-074 	11 44 04.1	-07 39 11	Xs  	      	        	        	   1.760	        	        	   0.360	   0.210	J1146-0755 	20.00	
11 46 33.6	-33 00 23	B1144-327 	       	11 44 02.6	-32 43 43	D   	      	        	        	   1.030	        	        	   0.300	   0.190	J1146-3300 	10.00	
11 47 04.6	-35 33 36	B1144-352 	       	11 44 33.8	-35 16 55	Xs  	      	        	        	   1.140	        	        	   0.160	        	J1147-3533 	20.00	
11 47 01.4	-38 12 12	B1144-379 	       	11 44 30.9	-37 55 31	Q?  	      	        	        	   0.940	        	   0.990	   1.030	   0.900	J1147-3812 	 0.02	
11 47 11.2	-41 11 07	B1144-409 	       	11 44 41.0	-40 54 26	Xs  	      	   7.000	        	   2.680	   2.260	   1.030	   0.610	   0.330	J1147-4111 	20.00	
11 47 07.1	-46 55 10	B1144-466 	       	11 44 37.7	-46 38 29	D   	      	        	        	        	        	        	   0.330	   0.130	J1147-4655 	10.00	
11 47 27.1	-53 15 57	B1144-529 	       	11 44 58.7	-52 59 16	Xs+ 	      	        	        	        	        	        	   0.120	        	J1147-5315 	20.00	
11 48 02.9	+02 15 44	B1145+025 	       	11 45 29.0	+02 32 25	Xs  	      	        	        	        	        	        	   0.210	   0.150	J1148+0215 	20.00	
11 47 51.6	-07 24 42	B1145-071 	OM-076 	11 45 18.3	-07 08 01	Q   	 1.345	        	        	        	        	        	   1.090	   1.210	J1147-0724 	 0.15	
11 47 37.4	-25 04 43	B1145-248 	OM-275 	11 45 05.5	-24 48 02	X   	      	        	        	   1.040	        	        	   0.280	   0.150	J1147-2504 	20.00	
11 47 45.5	-38 15 04	B1145-379 	       	11 45 14.8	-37 58 23	Xs  	      	        	        	        	        	        	   0.360	   0.150	J1147-3815 	20.00	
11 47 30.8	-40 03 59	B1145-397 	       	11 45 00.4	-39 47 18	Xs  	      	        	        	   1.510	        	        	   0.230	        	J1147-4003 	20.00	
11 48 15.4	-48 05 43	B1145-478 	       	11 45 45.8	-47 49 02	Xs  	      	        	        	        	        	        	   0.250	   0.150	J1148-4805 	20.00	
11 47 33.6	-67 53 42	B1145-676 	       	11 45 09.6	-67 37 01	Q   	      	        	        	   1.620	        	        	   0.780	   0.770	J1147-6753 	 2.00	
11 48 48.3	+04 55 22	B1146+052 	4C05.53	11 46 14.2	+05 12 03	Xs  	      	  10.000	   5.500	   2.650	        	   0.600	   0.300	   0.180	J1148+0455 	20.00	
11 48 41.5	+14 02 07	B1146+143 	4C14.44	11 46 06.8	+14 18 48	Xs  	      	        	   2.800	        	        	        	   0.160	        	J1148+1402 	20.00	
11 49 16.9	-02 41 59	B1146-024 	4C-2.49	11 46 43.3	-02 25 18	X   	      	        	   2.200	   0.990	        	        	   0.190	   0.140	J1149-0241 	20.00	
11 48 55.9	-04 04 11	B1146-037 	       	11 46 22.4	-03 47 30	Q   	 0.340	        	        	   0.990	   1.400	   0.600	   0.420	   0.340	J1148-0404 	10.00	wjp77
11 49 06.8	-12 04 33	B1146-117 	11-113 	11 46 33.8	-11 47 52	E   	      	  17.000	        	   4.340	        	   1.400	   0.860	   0.330	J1149-1204 	20.00	
11 48 52.7	-33 33 03	B1146-332 	       	11 46 21.3	-33 16 22	Xs  	      	        	        	        	        	        	   0.080	        	J1148-3333 	20.00	
11 48 47.6	-33 56 39	B1146-336 	       	11 46 16.3	-33 39 58	Xs  	      	        	        	        	        	        	   0.150	        	J1148-3356 	20.00	
11 48 50.6	-34 19 03	B1146-340 	       	11 46 19.3	-34 02 22	Xs  	      	        	        	        	        	        	   0.100	        	J1148-3419 	20.00	
11 49 00.9	-53 30 20	B1146-532 	       	11 46 31.9	-53 13 39	Xs+ 	      	        	        	   1.150	        	        	   0.310	   0.160	J1149-5330 	20.00	
11 50 25.5	+01 16 01	B1147+015 	4C01.33	11 47 51.7	+01 32 42	G   	      	        	   2.200	   1.200	        	        	   0.310	   0.200	J1150+0116 	10.00	
11 49 57.1	+12 47 14	B1147+130 	3C267  	11 47 22.6	+13 03 55	Xs  	      	  23.000	  14.400	   6.970	        	   2.400	   1.500	   0.660	J1149+1247 	20.00	
11 49 45.1	-04 56 42	B1147-046 	OM-079 	11 47 11.6	-04 40 01	Xs  	      	        	        	   0.910	        	        	   0.220	        	J1149-0456 	20.00	
11 50 24.2	-06 39 45	B1147-063 	       	11 47 50.8	-06 23 04	Xs  	      	        	        	        	        	        	   0.200	        	J1150-0639 	20.00	
11 50 32.0	-19 31 10	B1147-192 	       	11 47 59.3	-19 14 29	Xs  	      	        	        	        	        	        	   0.280	   0.270	J1150-1931 	20.00	
11 49 55.7	-19 44 10	B1147-194 	       	11 47 23.1	-19 27 29	X   	      	        	        	   1.380	        	        	   0.280	   0.180	J1149-1944 	20.00	
11 49 38.6	-34 11 42	B1147-339 	       	11 47 07.1	-33 55 01	Xs  	      	        	        	   2.330	        	        	   0.360	   0.190	J1149-3411 	20.00	
11 49 52.6	-43 45 51	B1147-434 	       	11 47 22.0	-43 29 10	Xg  	      	        	        	   1.200	        	        	   0.130	        	J1149-4345 	20.00	
11 49 47.3	-53 57 59	B1147-536 	       	11 47 18.1	-53 41 18	Xs+ 	      	        	        	   1.740	        	        	   0.230	        	J1149-5357 	20.00	
11 50 43.8	-00 23 54	B1148-001 	4C-0.47	11 48 10.1	-00 07 13	Q   	 1.982	   4.000	   2.500	   3.430	   3.500	   3.100	   2.400	   1.900	J1150-0023 	 0.02	bk66b,bk66a
11 51 03.2	-17 24 00	B1148-171 	OM-177 	11 48 30.4	-17 07 19	Q   	 1.751	        	        	        	        	        	   0.600	   0.500	J1151-1724 	 0.50	wpj79
11 51 16.5	-35 36 51	B1148-353 	       	11 48 44.8	-35 20 10	E   	      	  11.000	        	   3.500	   2.270	   1.410	   0.770	   0.480	J1151-3536 	20.00	
11 50 50.5	-52 10 05	B1148-518 	       	11 48 20.6	-51 53 24	Xs  	      	        	        	   1.150	        	        	   0.190	        	J1150-5210 	20.00	
11 51 13.6	-67 28 10	B1148-671 	       	11 48 46.8	-67 11 28	Q   	      	        	        	        	        	        	   1.900	   2.230	J1151-6728 	 2.00	
11 51 59.9	+17 07 30	B1149+174 	4C17.53	11 49 25.3	+17 24 11	X   	      	        	   3.000	   1.590	        	        	   0.170	        	J1151+1707 	20.00	
11 52 16.9	-08 41 05	B1149-084 	OM-082 	11 49 43.5	-08 24 23	Q?  	      	        	        	        	        	        	   0.390	   0.560	J1152-0841 	20.00	
11 51 46.5	-33 42 23	B1149-334 	       	11 49 14.6	-33 25 41	Xg  	      	        	        	        	        	        	   0.120	        	J1151-3342 	20.00	
11 52 15.9	-39 07 22	B1149-388 	       	11 49 44.3	-38 50 40	Xg  	      	        	        	   0.900	        	        	   0.190	        	J1152-3907 	20.00	
11 51 38.1	-48 22 10	B1149-480 	       	11 49 07.5	-48 05 28	Xs  	      	        	        	        	        	        	   0.250	   0.240	J1151-4822 	20.00	
11 53 12.3	+00 53 19	B1150+011 	4C01.34	11 50 38.5	+01 10 01	Xs  	      	        	   3.000	   1.480	        	        	   0.170	        	J1153+0053 	20.00	
11 53 12.9	+09 14 11	B1150+095 	4C09.39	11 50 38.8	+09 30 53	Q   	 0.698	        	   2.300	   1.680	        	   0.700	   0.410	   0.350	J1153+0914 	20.00	ww76a
11 53 03.5	+11 07 18	B1150+114 	4C11.40	11 50 29.3	+11 24 00	Xs  	      	        	   4.800	   3.020	        	   0.700	   0.430	   0.200	J1153+1107 	20.00	
11 53 09.4	+22 29 14	B1150+227 	4C22.32	11 50 34.7	+22 45 55	N   	 0.118	        	   2.400	        	        	   0.300	   0.120	        	J1153+2229 	20.00	s73
11 52 47.5	+26 14 07	B1150+265 	4C26.34	11 50 12.5	+26 30 48	Xs  	      	   8.000	   2.700	        	   1.300	   0.400	   0.210	        	J1152+2614 	20.00	
11 52 46.1	-10 29 32	B1150-102 	OM-184 	11 50 12.8	-10 12 50	Xs  	      	   6.000	        	   1.650	        	   0.500	   0.280	   0.140	J1152-1029 	20.00	
11 53 21.9	-11 05 22	B1150-108 	       	11 50 48.6	-10 48 40	Xs  	      	        	        	        	        	        	   0.220	   0.160	J1153-1105 	20.00	
11 53 32.6	-18 16 22	B1150-179 	       	11 50 59.6	-17 59 40	Xg  	      	        	        	        	        	        	   0.320	   0.180	J1153-1816 	20.00	
11 53 13.0	-37 15 06	B1150-369 	       	11 50 41.0	-36 58 24	Xs  	      	        	        	   0.900	        	        	   0.160	        	J1153-3715 	20.00	
11 52 45.4	-44 48 51	B1150-445 	       	11 50 14.1	-44 32 09	Xs  	      	        	        	        	        	        	   0.120	        	J1152-4448 	20.00	
11 53 28.8	-50 09 29	B1150-498 	       	11 50 57.8	-49 52 47	Xs  	      	        	        	   1.120	        	        	   0.280	   0.180	J1153-5009 	20.00	
11 52 50.1	-53 39 48	B1150-533 	       	11 50 19.7	-53 23 06	Xs+ 	      	        	        	        	        	        	   0.140	        	J1152-5339 	20.00	
11 53 17.4	-70 45 56	B1150-704 	       	11 50 50.2	-70 29 14	Xs  	      	        	        	   0.930	        	        	   0.290	   0.180	J1153-7045 	20.00	
11 52 56.8	-72 39 25	B1150-723 	       	11 50 30.7	-72 22 43	G   	      	        	        	   2.770	        	   1.490	   0.820	   0.650	J1152-7239 	 2.00	
11 52 56.3	-83 43 52	B1150-834 	       	11 50 43.8	-83 27 10	Xg  	      	        	        	        	        	        	   0.130	        	J1152-8343 	20.00	
11 53 55.1	+02 25 18	B1151+027 	       	11 51 21.2	+02 42 00	Xs  	      	        	        	   0.890	        	        	   0.160	        	J1153+0225 	20.00	
11 53 58.9	+09 39 29	B1151+099 	4C09.40	11 51 24.8	+09 56 11	E   	      	        	   2.000	   1.240	        	   0.600	   0.360	   0.170	J1153+0939 	10.00	
11 54 12.6	+22 29 19	B1151+227 	       	11 51 38.0	+22 46 01	Xs  	      	        	        	        	        	   0.400	   0.110	        	J1154+2229 	20.00	
11 53 43.5	-14 19 38	B1151-140 	       	11 51 10.3	-14 02 56	Xs  	      	        	        	        	        	        	   0.230	        	J1153-1419 	20.00	
11 53 49.2	-30 09 48	B1151-298 	OM-285 	11 51 16.7	-29 53 06	Q   	      	        	        	   1.440	        	        	   0.320	   0.230	J1153-3009 	20.00	
11 54 08.0	-32 42 27	B1151-324 	       	11 51 35.6	-32 25 45	Xs  	      	        	        	        	        	        	   0.180	        	J1154-3242 	20.00	
11 54 21.7	-35 05 29	B1151-348 	11-314 	11 51 49.4	-34 48 47	Q   	 0.258	   7.000	        	  10.900	        	   6.100	   4.120	   2.740	J1154-3505 	 0.15	jwp78b
11 53 36.3	-35 22 38	B1151-350 	       	11 51 04.1	-35 05 56	Xs  	      	        	        	   1.050	        	   1.090	   0.570	   0.350	J1153-3522 	20.00	
11 54 19.0	-40 47 22	B1151-405 	       	11 51 47.0	-40 30 40	X   	      	        	        	   1.150	        	        	   0.270	   0.160	J1154-4047 	20.00	
11 54 30.7	-48 28 52	B1151-482 	       	11 51 59.2	-48 12 10	Xs  	      	        	        	   1.050	        	        	   0.200	        	J1154-4828 	20.00	
11 54 05.0	-53 19 46	B1151-530 	       	11 51 34.0	-53 03 04	Xs+ 	      	        	        	   0.910	        	        	   0.190	        	J1154-5319 	20.00	
11 54 02.8	-54 56 18	B1151-546 	       	11 51 32.0	-54 39 36	Xs+ 	      	        	        	   2.470	        	        	   0.490	   0.260	J1154-5456 	20.00	
11 54 53.3	+04 13 38	B1152+045 	4C04.37	11 52 19.4	+04 30 20	Xs  	      	  12.000	        	   4.000	        	   0.800	   0.390	   0.220	J1154+0413 	20.00	
11 55 26.7	+18 20 37	B1152+186 	4C18.33	11 52 52.4	+18 37 19	X   	      	        	   2.400	   1.010	        	        	   0.130	        	J1155+1820 	20.00	
11 55 02.5	-01 26 00	B1152-011 	       	11 52 28.8	-01 09 18	G   	      	        	        	        	        	        	   0.080	        	J1155-0125 	20.00	
11 54 41.4	-13 07 55	B1152-128 	OM-187 	11 52 08.1	-12 51 13	Xg  	      	        	        	   1.440	        	        	   0.280	   0.180	J1154-1307 	20.00	
11 55 30.8	-18 05 02	B1152-178 	OM-189 	11 52 57.6	-17 48 20	X   	      	        	        	   1.560	        	        	   0.380	   0.230	J1155-1805 	20.00	
11 54 35.1	-20 45 13	B1152-204 	OM-2865	11 52 02.1	-20 28 31	Xs  	      	        	        	   0.980	        	        	   0.250	   0.110	J1154-2045 	20.00	
11 54 49.4	-28 12 45	B1152-279 	OM-287 	11 52 16.6	-27 56 03	Xs  	      	        	        	   0.890	        	        	   0.280	   0.210	J1154-2812 	20.00	
11 54 38.4	-43 12 06	B1152-429 	       	11 52 06.5	-42 55 24	Xs  	      	        	        	        	        	        	   0.220	        	J1154-4312 	20.00	
11 54 32.4	-69 45 35	B1152-694 	11-66  	11 52 03.9	-69 28 53	Xs  	      	        	        	   4.500	        	   2.000	   1.090	   0.770	J1154-6945 	 3.00	
11 54 51.7	-73 49 49	B1152-735 	       	11 52 24.3	-73 33 07	Xs  	      	        	        	        	        	        	   0.150	        	J1154-7349 	20.00	
11 55 34.5	-12 15 13	B1153-119 	OM-188 	11 53 01.1	-11 58 31	Xs  	      	        	        	        	        	        	   0.230	        	J1155-1215 	20.00	
11 56 09.4	-23 27 17	B1153-231 	OM-289 	11 53 36.3	-23 10 35	G   	      	        	        	   1.940	        	        	   0.390	   0.180	J1156-2327 	20.00	
11 55 33.3	-36 31 12	B1153-362 	       	11 53 00.8	-36 14 30	Xs  	      	        	        	        	        	        	   0.150	        	J1155-3631 	20.00	
11 55 36.7	-76 19 12	B1153-760 	       	11 53 09.6	-76 02 30	Xs  	      	        	        	        	        	        	   0.160	        	J1155-7619 	20.00	
11 56 25.7	-77 22 15	B1153-770 	       	11 53 58.1	-77 05 33	Xs  	      	        	        	        	        	        	   0.060	        	J1156-7722 	20.00	
11 55 54.8	-81 00 47	B1153-807 	       	11 53 30.7	-80 44 05	Xs  	      	        	        	   0.940	        	        	   0.230	        	J1155-8100 	20.00	
11 56 40.3	+14 24 34	B1154+146 	4C14.45	11 54 06.2	+14 41 16	Xs  	      	        	   3.100	   1.310	        	        	   0.160	        	J1156+1424 	20.00	
11 57 33.0	+19 02 36	B1154+193 	4C19.41	11 54 58.9	+19 19 18	X   	      	        	   3.100	        	        	        	   0.350	   0.230	J1157+1902 	20.00	
11 57 11.0	-01 24 11	B1154-011 	       	11 54 37.3	-01 07 29	X   	      	        	        	   0.890	        	        	   0.110	        	J1157-0124 	20.00	
11 56 39.3	-02 13 12	B1154-019 	       	11 54 05.6	-01 56 30	Xs  	      	        	        	        	        	        	   0.110	   0.080	J1156-0213 	20.00	
11 56 47.0	-04 05 12	B1154-038 	       	11 54 13.3	-03 48 30	D   	      	        	        	        	        	        	   0.170	        	J1156-0405 	20.00	
11 57 08.9	-15 38 24	B1154-153 	OM-191 	11 54 35.5	-15 21 42	Xg  	      	        	        	        	        	        	   0.200	        	J1157-1538 	20.00	
11 57 34.9	+16 39 01	B1155+169 	OM1914 	11 55 00.8	+16 55 43	QC  	      	        	        	        	        	        	   0.610	   0.580	J1157+1639 	10.00	
11 58 25.7	+24 50 18	B1155+251 	       	11 55 51.6	+25 07 00	G   	      	        	        	   0.740	        	        	   1.070	   0.880	J1158+2450 	 0.15	
11 58 20.7	+26 21 38	B1155+266 	4C26.35	11 55 46.5	+26 38 20	E   	      	  13.000	   2.900	        	   3.000	   0.900	   0.550	   0.210	J1158+2621 	20.00	
11 57 51.3	-03 12 21	B1155-029 	       	11 55 17.6	-02 55 39	Xs  	      	        	        	   0.890	        	        	   0.250	   0.150	J1157-0312 	20.00	
11 57 59.9	-42 39 37	B1155-423 	       	11 55 27.0	-42 22 55	Xs  	      	   9.000	        	   1.810	        	        	   0.280	   0.170	J1157-4239 	20.00	
11 57 42.9	-72 03 25	B1155-717 	       	11 55 12.3	-71 46 43	Xs  	      	        	        	        	        	        	   0.190	        	J1157-7203 	20.00	
11 59 30.0	+10 46 27	B1156+110 	4C11.41	11 56 56.1	+11 03 09	X   	      	   7.000	   3.600	   2.240	        	   0.800	   0.350	   0.190	J1159+1046 	20.00	
11 59 12.8	-09 40 52	B1156-094 	OM-094 	11 56 39.1	-09 24 10	Xs  	      	        	        	   1.560	        	        	   0.750	   0.660	J1159-0941 	 0.02	
11 58 56.3	-17 05 32	B1156-168 	       	11 56 22.8	-16 48 50	Xs  	      	        	        	   1.460	        	        	   0.190	        	J1158-1705 	20.00	
11 58 49.3	-20 56 10	B1156-206 	OM-293 	11 56 15.8	-20 39 28	Xs  	      	        	        	   0.890	        	        	   0.260	   0.180	J1158-2056 	20.00	
11 59 11.3	-22 28 37	B1156-221 	       	11 56 37.8	-22 11 55	Q   	 0.565	        	        	   2.660	        	        	   0.710	   0.780	J1159-2228 	 0.15	wpj79
11 59 07.0	-31 38 55	B1156-313 	OM-394 	11 56 33.6	-31 22 13	X   	      	        	        	   1.830	        	        	   0.340	   0.190	J1159-3138 	20.00	
11 58 48.6	-40 29 58	B1156-402 	       	11 56 15.5	-40 13 16	G   	      	  10.000	        	   2.150	   1.360	   0.680	   0.470	   0.310	J1158-4029 	20.00	
11 59 16.8	-66 35 44	B1156-663 	       	11 56 44.4	-66 19 01	Xs+ 	      	        	        	        	        	        	   0.390	   0.440	J1159-6635 	20.00	
11 58 50.3	-68 31 25	B1156-682 	       	11 56 18.3	-68 14 42	Xs+ 	      	        	        	   0.920	        	        	   0.140	        	J1158-6831 	20.00	
11 59 44.8	+01 12 09	B1157+014 	       	11 57 11.0	+01 28 51	Q   	 1.986	        	        	        	        	        	   0.140	        	J1159+0112 	20.00	wjp77
11 59 35.4	+02 20 11	B1157+026 	       	11 57 01.6	+02 36 53	X   	      	        	        	        	        	        	   0.130	        	J1159+0220 	20.00	
12 00 33.3	+15 23 55	B1157+156 	4C15.38	11 57 59.5	+15 40 37	Xs  	      	        	   3.100	        	        	        	   0.240	        	J1200+1523 	20.00	
12 00 21.3	-01 05 54	B1157-008 	NGC4030	11 57 47.5	-00 49 12	S   	      	        	        	        	        	        	   0.090	        	J1200-0105 	20.00	
11 59 46.5	-01 25 06	B1157-011 	       	11 57 12.8	-01 08 24	Xs  	      	        	        	        	        	        	   0.090	        	J1159-0125 	20.00	
