#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-07-26T09:49:57 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ51f244583b40	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:VIII/16&tab:{VIII/16/mrcj2000}&key:source=VIII/16&HTTPPRM:&-out.max=20&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VIII/16/mrcj2000
#-order=I
#-out=MRC
#-out=RAB1950
#-out=DEB1950
#-out=RA2000
#-out=DE2000
#-out=S408
#-out=e_S408
#-out=n_S408
#-out=Mflag
#-out=Cflag
#

#RESOURCE=yCat_8016
#Name: VIII/16
#Title: Molonglo Reference Catalogue of Radio Sources (Large+ 1991)
#Coosys	B1950:	eq_FK4 B1950
#Table	VIII_16_mrcj2000:
#Name: VIII/16/mrcj2000
#Title: Catalog Data
#Column	_RAJ2000	(A10)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A9)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	MRC	(a9)	Recommended IAU name of the source based on B1950 equinox.	[ucd=meta.id;meta.main]
#Column	RAB1950	(A10)	Right ascension in B1950 equinox	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A9)	DEC in degrees in B1950 equinox	[ucd=pos.eq.dec;meta.main]
#Column	RA2000	(A10)	Right ascension in J2000 equinox (Converted from B1950 using the STARLINK program COCO)	[ucd=pos.eq.ra]
#Column	DE2000	(A9)	DEC in J2000 equinox	[ucd=pos.eq.dec]
#Column	S408	(F7.2)	Flux density	[ucd=phot.flux.density;em.radio.200-400MHz]
#Column	e_S408	(F5.2)	Standard error	[ucd=stat.error]
#Column	n_S408	(A1)	[*] scattering flag (1)	[ucd=meta.note]
#Column	Mflag	(A3)	[ AECMN] *Morphology flags	[ucd=meta.code]
#Column	Cflag	(A3)	[ CJMPRST] Cross-reference flags.	[ucd=meta.code]
_RAJ2000	_DEJ2000	MRC	RAB1950	DEB1950	RA2000	DE2000	S408	e_S408	n_S408	Mflag	Cflag
12 14 24.8	-27 30 46	1211-272 	12 11 49.1	-27 14 05	12 14 24.8	-27 30 46	   0.97	 0.04	 	   	 P
12 14 27.7	-45 57 46	1211-456 	12 11 50.0	-45 41 05	12 14 27.7	-45 57 46	   1.02	 0.07	 	   	
12 14 27.0	+14 03 12	1211+143 	12 11 54.2	+14 19 52	12 14 27.0	+14 03 12	   2.12	 0.11	 	   	 P
12 14 29.3	-12 26 29	1211-121 	12 11 54.7	-12 09 48	12 14 29.3	-12 26 28	   0.90	 0.07	 	   	
12 14 31.9	-37 26 39	1211-371 	12 11 55.2	-37 09 58	12 14 31.9	-37 26 39	   1.26	 0.05	 	   	 P
12 14 36.3	-06 06 56	1212-058 	12 12 02.1	-05 50 15	12 14 36.3	-06 06 55	   0.98	 0.07	 	   	
12 14 44.9	-20 40 57	1212-204 	12 12 09.7	-20 24 16	12 14 44.9	-20 40 56	   1.32	 0.03	 	   	 P
12 14 48.3	-01 00 15	1212-007 	12 12 14.5	-00 43 35	12 14 48.3	-01 00 15	   2.73	 0.07	 	   	 P
12 14 50.1	+03 03 46	1212+033 	12 12 16.6	+03 20 26	12 14 50.1	+03 03 46	   1.02	 0.06	 	   	
12 14 51.1	+07 11 23	1212+074 	12 12 17.9	+07 28 03	12 14 51.2	+07 11 23	   0.96	 0.07	 	   	
12 14 56.2	-45 06 25	1212-448 	12 12 18.5	-44 49 44	12 14 56.2	-45 06 24	   2.00	 0.09	 	   	 P
12 14 53.4	+16 41 09	1212+169 	12 12 20.8	+16 57 49	12 14 53.4	+16 41 09	   0.88	 0.07	 	   	
12 15 02.7	-27 50 14	1212-275 	12 12 26.8	-27 33 33	12 15 02.7	-27 50 13	   0.96	 0.05	 	   	
12 15 06.3	+03 40 37	1212+039 	12 12 32.8	+03 57 17	12 15 06.3	+03 40 37	   0.87	 0.06	 	   	
12 15 10.6	-14 07 16	1212-138 	12 12 35.8	-13 50 36	12 15 10.6	-14 07 16	   0.84	 0.07	 	   	 P
12 15 14.9	+17 30 04	1212+177 	12 12 42.4	+17 46 44	12 15 14.9	+17 30 04	   2.47	 0.12	 	   	 P
12 15 22.6	+00 18 45	1212+005 	12 12 48.9	+00 35 25	12 15 22.6	+00 18 45	   1.47	 0.05	 	   	 P
12 15 55.0	-82 05 31	1212-818 	12 12 51.6	-81 48 50	12 15 55.0	-82 05 30	   0.88	 0.07	 	   	 P
12 15 38.2	-57 10 20	1212-568 	12 12 58.0	-56 53 39	12 15 38.2	-57 10 19	   1.31	 0.08	 	   	
12 15 44.0	+17 09 15	1213+174 	12 13 11.6	+17 25 55	12 15 44.1	+17 09 15	   0.96	 0.07	 	   	
12 15 46.8	-17 31 41	1213-172 	12 13 11.7	-17 15 01	12 15 46.8	-17 31 41	   2.76	 0.09	 	   	 P
12 15 48.5	+12 21 40	1213+126 	12 13 15.7	+12 38 20	12 15 48.5	+12 21 40	   1.50	 0.06	 	   	 P
12 16 17.2	-28 50 54	1213-285 	12 13 41.1	-28 34 14	12 16 17.3	-28 50 54	   0.77	 0.04	 	   	
12 16 29.4	-08 59 46	1213-087 	12 13 55.0	-08 43 06	12 16 29.5	-08 59 46	   1.84	 0.10	 	   	 P
12 16 30.2	-15 00 07	1213-147 	12 13 55.3	-14 43 27	12 16 30.2	-15 00 07	   1.60	 0.09	 	   	 P
12 17 05.8	-03 11 45	1214-029 	12 14 31.8	-02 55 05	12 17 05.8	-03 11 45	   0.90	 0.07	 	N  	 P
12 17 15.8	-28 45 24	1214-284 	12 14 39.5	-28 28 44	12 17 15.8	-28 45 24	   0.82	 0.04	 	E  	 P
12 17 29.7	+03 36 44	1214+038 	12 14 56.3	+03 53 24	12 17 29.8	+03 36 45	   3.48	 0.11	 	M  	 S
12 17 39.7	+03 39 41	1215+039 	12 15 06.3	+03 56 21	12 17 39.8	+03 39 42	   3.93	 0.16	 	M  	 PS
12 17 45.1	-21 47 25	1215-215 	12 15 09.4	-21 30 45	12 17 45.1	-21 47 25	   1.50	 0.06	 	   	 P
12 17 58.4	-00 29 50	1215-002 	12 15 24.6	-00 13 10	12 17 58.4	-00 29 49	   1.09	 0.04	 	   	 P
12 18 06.2	-46 00 31	1215-457 	12 15 27.4	-45 43 51	12 18 06.2	-46 00 31	   9.59	 0.42	 	   	 P
12 18 07.4	-14 40 11	1215-143 	12 15 32.4	-14 23 31	12 18 07.4	-14 40 10	   0.98	 0.07	 	   	 P
12 18 07.1	+05 59 28	1215+062 	12 15 33.9	+06 16 07	12 18 07.1	+05 59 28	   0.73	 0.06	 	   	
12 18 12.4	-09 52 37	1215-095 	12 15 37.8	-09 35 57	12 18 12.4	-09 52 36	   0.95	 0.03	 	   	
12 18 18.1	-29 58 32	1215-296 	12 15 41.5	-29 41 52	12 18 18.1	-29 58 31	   0.84	 0.05	 	   	
12 18 36.5	-43 34 54	1215-433 	12 15 58.0	-43 18 14	12 18 36.5	-43 34 53	   1.01	 0.07	 	   	 P
12 18 35.1	-10 18 56	1216-100 	12 16 00.4	-10 02 17	12 18 35.1	-10 18 56	   6.12	 0.19	 	E  	 PS
12 18 36.4	-06 31 19	1216-062 	12 16 02.1	-06 14 40	12 18 36.4	-06 31 19	   0.94	 0.04	*	   	
12 18 40.6	-23 01 19	1216-227 	12 16 04.7	-22 44 40	12 18 40.6	-23 01 19	   0.82	 0.05	 	   	
12 18 52.2	-55 02 09	1216-547 	12 16 11.2	-54 45 29	12 18 52.2	-55 02 08	   1.63	 0.06	 	   	
12 18 48.8	+14 25 14	1216+146 	12 16 16.4	+14 41 53	12 18 48.8	+14 25 14	   0.90	 0.07	 	E  	
12 18 52.6	+05 14 34	1216+055 	12 16 19.3	+05 31 13	12 18 52.6	+05 14 34	   1.16	 0.07	 	   	
12 19 02.7	-07 15 11	1216-069 	12 16 28.3	-06 58 32	12 19 02.7	-07 15 11	   3.31	 0.15	 	   	 P
12 19 11.4	-04 57 00	1216-046 	12 16 37.2	-04 40 21	12 19 11.4	-04 57 00	   1.78	 0.07	 	   	 P
12 19 12.6	+10 33 19	1216+108 	12 16 39.8	+10 49 58	12 19 12.6	+10 33 19	   1.03	 0.03	 	   	
12 19 16.6	-16 22 01	1216-160 	12 16 41.3	-16 05 22	12 19 16.6	-16 22 01	   1.07	 0.06	 	   	 P
12 19 15.4	+05 49 31	1216+061A	12 16 42.2	+06 06 10	12 19 15.4	+05 49 31	  15.48	 0.47	 	M  	 PC
12 19 26.5	-24 16 19	1216-239 	12 16 50.4	-23 59 40	12 19 26.5	-24 16 19	   0.92	 0.07	 	   	
12 19 25.4	+05 49 37	1216+061B	12 16 52.2	+06 06 16	12 19 25.4	+05 49 37	  10.01	 0.31	*	M  	 PC
12 19 48.5	-17 12 41	1217-169 	12 17 13.1	-16 56 02	12 19 48.5	-17 12 41	   1.66	 0.06	 	   	 P
12 20 02.5	-67 22 52	1217-671 	12 17 15.8	-67 06 13	12 20 02.5	-67 22 52	   0.78	 0.06	 	   	
12 19 54.0	-36 36 51	1217-363 	12 17 16.2	-36 20 12	12 19 54.0	-36 36 51	   0.86	 0.05	 	   	
12 19 57.6	-49 08 10	1217-488 	12 17 17.6	-48 51 31	12 19 57.6	-49 08 10	   0.94	 0.05	 	   	
12 20 03.5	-27 18 26	1217-270 	12 17 26.9	-27 01 47	12 20 03.5	-27 18 26	   0.90	 0.05	 	   	
12 20 13.2	+02 03 24	1217+023 	12 17 39.7	+02 20 03	12 20 13.3	+02 03 24	   1.04	 0.07	 	   	 P
12 20 21.1	-27 53 01	1217-276 	12 17 44.4	-27 36 22	12 20 21.1	-27 53 01	   1.03	 0.05	 	   	
12 20 20.7	-16 37 51	1217-163 	12 17 45.3	-16 21 12	12 20 20.7	-16 37 51	   1.02	 0.06	 	   	
12 20 22.6	-21 13 07	1217-209 	12 17 46.7	-20 56 28	12 20 22.6	-21 13 07	   1.00	 0.07	 	   	
12 20 28.1	+09 28 29	1217+097 	12 17 55.3	+09 45 08	12 20 28.1	+09 28 30	   4.17	 0.49	 	   	 P
12 20 34.6	-09 25 29	1217-091 	12 17 59.9	-09 08 50	12 20 34.6	-09 25 29	   1.38	 0.04	 	   	
12 20 39.3	-37 40 22	1218-373 	12 18 01.2	-37 23 43	12 20 39.3	-37 40 22	   3.36	 0.09	 	   	 P
12 20 40.7	-44 27 20	1218-441 	12 18 01.4	-44 10 41	12 20 40.7	-44 27 20	   1.46	 0.08	 	   	
12 20 45.4	-08 31 09	1218-082 	12 18 10.8	-08 14 30	12 20 45.4	-08 31 08	   0.88	 0.03	 	   	
12 21 15.6	-53 49 14	1218-535 	12 18 34.0	-53 32 35	12 21 15.7	-53 49 14	   3.09	 0.14	 	   	
12 21 23.6	-12 37 29	1218-123 	12 18 48.5	-12 20 51	12 21 23.6	-12 37 29	   1.24	 0.08	 	   	
12 21 24.3	-02 41 54	1218-024 	12 18 50.3	-02 25 16	12 21 24.3	-02 41 54	   1.54	 0.06	 	   	 P
12 21 28.6	-32 53 51	1218-326 	12 18 51.1	-32 37 12	12 21 28.6	-32 53 50	   1.47	 0.06	 	   	 P
12 21 28.5	-16 13 16	1218-159 	12 18 53.0	-15 56 38	12 21 28.5	-16 13 16	   0.98	 0.06	 	   	
12 21 51.7	-74 05 53	1218-738 	12 18 57.3	-73 49 14	12 21 51.7	-74 05 52	   0.85	 0.06	 	   	 P
12 21 37.6	+00 06 11	1219+003 	12 19 03.9	+00 22 49	12 21 37.6	+00 06 11	   0.71	 0.06	 	   	
12 21 42.5	-26 46 37	1219-264 	12 19 05.8	-26 29 59	12 21 42.5	-26 46 37	   1.13	 0.04	 	   	
12 21 54.2	+04 28 28	1219+047 	12 19 20.9	+04 45 06	12 21 54.2	+04 28 28	   0.93	 0.07	 	   	
12 22 18.1	-53 29 10	1219-532 	12 19 36.1	-53 12 32	12 22 18.1	-53 29 10	   1.06	 0.05	 	   	
12 22 21.9	-53 58 47	1219-537 	12 19 39.8	-53 42 09	12 22 21.9	-53 58 47	   0.78	 0.06	 	   	
12 22 22.4	+04 13 17	1219+044 	12 19 49.1	+04 29 55	12 22 22.4	+04 13 17	   1.05	 0.05	 	   	 P
12 22 29.2	+02 30 09	1219+027 	12 19 55.7	+02 46 47	12 22 29.2	+02 30 09	   0.79	 0.05	 	   	
12 22 42.2	-06 15 53	1220-059 	12 20 07.8	-05 59 15	12 22 42.2	-06 15 53	   0.90	 0.06	 	E  	 P
12 23 06.6	-34 40 28	1220-343 	12 20 28.5	-34 23 50	12 23 06.6	-34 40 28	   0.99	 0.07	 	   	 P
12 23 08.4	+10 29 04	1220+107 	12 20 35.8	+10 45 42	12 23 08.4	+10 29 05	   0.93	 0.05	 	   	
12 23 22.2	-36 59 37	1220-367 	12 20 43.6	-36 42 59	12 23 22.2	-36 59 37	   1.01	 0.04	 	   	 P
12 23 40.2	-59 08 22	1220-588 	12 20 55.6	-58 51 44	12 23 40.2	-59 08 22	   1.26	 0.05	*	   	
12 23 43.5	-42 35 35	1221-423 	12 21 03.8	-42 18 57	12 23 43.5	-42 35 34	   5.08	 0.13	 	   	 P
12 23 48.9	-11 12 29	1221-109 	12 21 13.9	-10 55 52	12 23 49.0	-11 12 29	   1.37	 0.04	 	   	
12 23 45.8	+18 21 20	1221+186 	12 21 14.2	+18 37 57	12 23 45.8	+18 21 20	   1.24	 0.08	 	   	
12 23 52.1	+16 08 16	1221+164 	12 21 20.3	+16 24 53	12 23 52.1	+16 08 16	   1.53	 0.20	 	   	 P
12 24 53.4	-83 12 56	1221-829 	12 21 24.2	-82 56 19	12 24 53.4	-83 12 56	   0.74	 0.06	 	   	 P
12 24 31.0	-66 50 22	1221-665 	12 21 41.6	-66 33 45	12 24 31.0	-66 50 22	   4.79	 0.21	 	   	 P
12 24 21.6	-26 50 55	1221-265 	12 21 44.5	-26 34 18	12 24 21.6	-26 50 55	   0.77	 0.06	 	   	
12 24 20.0	+11 07 31	1221+114 	12 21 47.6	+11 24 08	12 24 20.0	+11 07 31	   0.88	 0.04	 	   	
12 24 36.8	-39 01 33	1221-387 	12 21 57.6	-38 44 56	12 24 36.8	-39 01 33	   0.91	 0.04	 	   	 P
12 24 44.5	-13 20 52	1222-130 	12 22 09.1	-13 04 15	12 24 44.5	-13 20 52	   0.88	 0.07	 	   	
12 24 52.3	-25 28 44	1222-252 	12 22 15.3	-25 12 07	12 24 52.3	-25 28 44	   1.82	 0.06	 	A  	 P
12 25 01.3	-29 38 07	1222-293 	12 22 23.6	-29 21 30	12 25 01.3	-29 38 07	   1.33	 0.06	 	   	 P
12 25 10.0	-51 19 07	1222-510 	12 22 27.6	-51 02 30	12 25 10.0	-51 19 07	   1.80	 0.07	 	   	
12 25 06.7	-19 50 29	1222-195 	12 22 30.5	-19 33 52	12 25 06.7	-19 50 29	   0.79	 0.06	 	   	
12 25 05.1	+12 53 13	1222+131 	12 22 32.9	+13 09 50	12 25 05.1	+12 53 13	  12.18	 0.53	 	   	 P
12 25 21.1	-59 42 29	1222-594 	12 22 35.5	-59 25 52	12 25 21.1	-59 42 29	   0.77	 0.05	 	   	
12 25 15.1	+10 36 19	1222+108 	12 22 42.7	+10 52 56	12 25 15.1	+10 36 20	   1.26	 0.03	 	   	
12 25 15.6	+06 40 02	1222+069 	12 22 42.7	+06 56 39	12 25 15.6	+06 40 03	   1.09	 0.07	 	   	
12 25 21.6	+03 39 42	1222+039 	12 22 48.3	+03 56 19	12 25 21.6	+03 39 43	   1.32	 0.07	 	   	
12 25 41.5	-70 11 22	1222-699 	12 22 48.3	-69 54 45	12 25 41.5	-70 11 22	   0.74	 0.06	 	   	
12 25 24.4	-11 44 36	1222-114 	12 22 49.2	-11 27 59	12 25 24.4	-11 44 36	   1.19	 0.07	 	   	 P
12 25 48.6	+13 05 01	1223+133 	12 23 16.5	+13 21 37	12 25 48.6	+13 05 01	   0.82	 0.06	 	   	
12 25 50.3	+02 35 31	1223+028 	12 23 16.9	+02 52 07	12 25 50.3	+02 35 31	   0.80	 0.06	 	   	
12 26 05.3	+02 56 16	1223+032 	12 23 31.9	+03 12 52	12 26 05.3	+02 56 16	   0.98	 0.05	 	   	
12 26 17.7	-07 41 34	1223-074 	12 23 43.0	-07 24 58	12 26 17.7	-07 41 34	   0.79	 0.05	 	   	 P
12 26 25.6	+09 39 56	1223+099 	12 23 53.1	+09 56 32	12 26 25.6	+09 39 56	   2.26	 0.06	 	   	 P
12 26 32.5	+09 00 47	1223+092 	12 23 59.9	+09 17 23	12 26 32.5	+09 00 47	   0.76	 0.06	 	   	
12 26 40.3	-29 51 25	1224-295 	12 24 02.3	-29 34 49	12 26 40.3	-29 51 25	   0.76	 0.05	 	   	
12 26 40.0	-26 29 59	1224-262 	12 24 02.6	-26 13 23	12 26 40.0	-26 29 59	   3.18	 0.07	 	   	 P
12 26 48.7	-45 57 46	1224-456 	12 24 07.3	-45 41 10	12 26 48.7	-45 57 46	   1.66	 0.09	 	   	
12 26 46.3	-32 47 16	1224-325 	12 24 07.8	-32 30 40	12 26 46.3	-32 47 16	   1.23	 0.07	 	   	 P
12 26 47.0	-04 21 16	1224-040 	12 24 12.7	-04 04 40	12 26 47.0	-04 21 16	   1.19	 0.14	 	   	 P
12 26 48.4	+05 06 56	1224+053 	12 24 15.3	+05 23 32	12 26 48.4	+05 06 56	   1.00	 0.05	 	   	
12 26 55.5	+04 29 04	1224+047 	12 24 22.3	+04 45 40	12 26 55.5	+04 29 04	   1.90	 0.08	 	   	 P
12 26 55.3	+10 55 08	1224+111 	12 24 23.0	+11 11 44	12 26 55.3	+10 55 08	   0.72	 0.06	 	   	
12 27 03.8	-08 48 28	1224-085 	12 24 28.9	-08 31 52	12 27 03.8	-08 48 28	   1.23	 0.04	 	   	
12 27 23.0	-30 38 40	1224-303 	12 24 44.8	-30 22 04	12 27 23.0	-30 38 40	   0.78	 0.07	 	   	 P
12 27 31.6	-21 05 09	1224-208 	12 24 54.9	-20 48 33	12 27 31.6	-21 05 09	   1.00	 0.04	 	   	
12 28 39.5	-81 54 15	1225-816 	12 25 11.6	-81 37 39	12 28 39.5	-81 54 14	   0.78	 0.06	 	M  	J
12 27 53.0	-35 36 46	1225-353 	12 25 13.7	-35 20 10	12 27 53.0	-35 36 45	   1.10	 0.04	 	   	
12 27 55.6	-44 20 30	1225-440 	12 25 14.3	-44 03 54	12 27 55.6	-44 20 30	   2.90	 0.14	 	   	 P
12 27 57.2	-02 36 59	1225-023 	12 25 23.1	-02 20 24	12 27 57.2	-02 36 59	   1.51	 0.06	 	   	 P
12 28 00.6	+07 25 38	1225+077 	12 25 27.9	+07 42 13	12 28 00.6	+07 25 38	   1.48	 0.08	 	E  	 P
12 28 16.1	-57 45 24	1225-574 	12 25 30.0	-57 28 48	12 28 16.1	-57 45 23	   1.44	 0.08	 	   	
12 28 25.0	-69 49 26	1225-695 	12 25 30.1	-69 32 50	12 28 25.0	-69 49 25	   1.01	 0.12	 	   	
12 28 26.6	-51 49 39	1225-515 	12 25 42.9	-51 33 03	12 28 26.6	-51 49 38	   0.89	 0.07	 	   	
12 28 20.2	-08 38 16	1225-083 	12 25 45.3	-08 21 41	12 28 20.2	-08 38 16	   1.80	 0.06	 	   	 P
12 28 36.7	+10 18 44	1226+105 	12 26 04.4	+10 35 19	12 28 36.7	+10 18 44	   2.14	 0.07	 	   	
12 28 42.8	-30 03 01	1226-297 	12 26 04.5	-29 46 26	12 28 42.9	-30 03 01	   1.20	 0.07	 	   	 P
12 28 41.4	-10 52 57	1226-106 	12 26 06.1	-10 36 22	12 28 41.4	-10 52 57	   1.80	 0.05	 	   	 P
12 28 45.6	-21 26 15	1226-211 	12 26 08.7	-21 09 40	12 28 45.6	-21 26 15	   3.28	 0.11	 	   	 P
12 28 46.4	+01 56 57	1226+022 	12 26 12.9	+02 13 32	12 28 46.4	+01 56 57	   1.37	 0.06	 	M  	
12 29 05.3	-07 44 10	1226-074 	12 26 30.5	-07 27 35	12 29 05.3	-07 44 10	   0.83	 0.05	 	   	
12 29 06.0	+02 02 57	1226+023 	12 26 32.6	+02 19 32	12 29 06.1	+02 02 57	  59.75	 1.82	 	M  	 PR
12 30 28.8	-81 56 09	1226-816 	12 26 57.1	-81 39 34	12 30 28.8	-81 56 09	   1.32	 0.08	 	M  	JP
12 29 32.5	+17 50 25	1227+181 	12 27 01.4	+18 07 00	12 29 32.5	+17 50 26	   1.91	 0.10	 	   	 P
12 29 34.1	+16 01 52	1227+163 	12 27 02.7	+16 18 26	12 29 34.1	+16 01 52	   0.95	 0.07	 	   	
12 29 59.8	-52 44 23	1227-524 	12 27 15.2	-52 27 48	12 29 59.9	-52 44 22	   0.93	 0.07	 	   	
12 29 50.3	+11 40 12	1227+119 	12 27 18.3	+11 56 46	12 29 50.3	+11 40 12	   4.31	 0.11	 	   	 P
12 30 31.3	-69 58 11	1227-696 	12 27 34.5	-69 41 36	12 30 31.3	-69 58 10	   1.87	 0.09	 	   	
12 30 20.9	-33 14 20	1227-329 	12 27 41.6	-32 57 46	12 30 20.9	-33 14 20	   0.95	 0.05	 	   	 P
12 31 13.8	-76 31 05	1228-762 	12 28 04.5	-76 14 31	12 31 13.8	-76 31 05	   0.90	 0.09	 	   	 P
12 30 51.8	-16 56 32	1228-166 	12 28 15.4	-16 39 58	12 30 51.8	-16 56 32	   0.93	 0.07	 	   	
12 30 50.1	+12 23 15	1228+126 	12 28 18.3	+12 39 49	12 30 50.2	+12 23 15	 519.00	 0.00	 	   	 PT
12 31 03.7	-45 28 01	1228-451 	12 28 21.2	-45 11 27	12 31 03.7	-45 28 01	   1.88	 0.10	 	   	
12 31 31.4	-70 20 37	1228-700 	12 28 33.4	-70 04 03	12 31 31.4	-70 20 37	   1.57	 0.06	 	   	 P
12 31 14.9	-33 46 22	1228-334 	12 28 35.4	-33 29 48	12 31 15.0	-33 46 22	   0.92	 0.07	 	   	 P
12 31 43.1	-72 14 35	1228-719 	12 28 42.1	-71 58 01	12 31 43.1	-72 14 35	   0.70	 0.04	 	   	 P
12 31 33.6	-56 36 38	1228-563 	12 28 46.6	-56 20 04	12 31 33.6	-56 36 38	   2.44	 0.11	 	   	
12 31 20.1	+11 22 26	1228+116 	12 28 48.1	+11 39 00	12 31 20.1	+11 22 27	   2.56	 0.06	 	A  	
12 31 32.2	-38 24 48	1228-381 	12 28 51.5	-38 08 14	12 31 32.2	-38 24 48	   1.31	 0.06	 	   	 P
12 32 03.0	-38 51 33	1229-385 	12 29 22.1	-38 35 00	12 32 03.0	-38 51 33	   0.80	 0.04	 	   	
12 32 08.6	-49 49 35	1229-495 	12 29 24.3	-49 33 02	12 32 08.6	-49 49 35	   2.04	 0.06	 	   	
12 32 12.1	-55 57 25	1229-556 	12 29 25.2	-55 40 52	12 32 12.2	-55 57 25	   0.94	 0.07	 	   	
12 32 00.1	-02 24 07	1229-021 	12 29 26.0	-02 07 34	12 32 00.1	-02 24 07	   3.87	 0.12	 	   	 P
12 32 03.8	-19 44 37	1229-194 	12 29 26.9	-19 28 04	12 32 03.9	-19 44 37	   0.81	 0.05	 	   	
12 32 15.2	-58 02 13	1229-577 	12 29 27.1	-57 45 40	12 32 15.2	-58 02 13	   1.47	 0.08	 	   	
12 32 41.7	-76 59 22	1229-767 	12 29 29.3	-76 42 49	12 32 41.7	-76 59 22	   0.76	 0.09	 	   	
12 32 05.3	-01 34 56	1229-013 	12 29 31.3	-01 18 23	12 32 05.3	-01 34 56	   1.80	 0.06	 	   	 P
12 32 40.4	-71 14 15	1229-709 	12 29 40.2	-70 57 42	12 32 40.4	-71 14 15	   0.89	 0.04	 	   	
12 32 34.7	-45 52 48	1229-456 	12 29 51.6	-45 36 15	12 32 34.7	-45 52 48	   2.06	 0.10	 	   	
12 32 41.7	-44 12 00	1229-439 	12 29 59.1	-43 55 27	12 32 41.7	-44 12 00	   0.85	 0.07	 	   	 P
12 32 43.2	-24 45 56	1230-244 	12 30 05.3	-24 29 23	12 32 43.3	-24 45 56	   1.93	 0.07	 	   	 P
12 32 55.7	-45 19 41	1230-450 	12 30 12.7	-45 03 08	12 32 55.7	-45 19 41	   1.10	 0.07	 	   	
12 32 52.5	-07 17 27	1230-070 	12 30 17.6	-07 00 54	12 32 52.5	-07 17 27	   1.43	 0.08	 	   	 P
12 33 08.7	-08 39 53	1230-083 	12 30 33.6	-08 23 20	12 33 08.8	-08 39 52	   1.00	 0.04	 	   	
12 33 13.0	-10 25 17	1230-101 	12 30 37.6	-10 08 44	12 33 13.1	-10 25 16	   1.02	 0.04	 	   	 P
12 33 30.8	-06 13 19	1230-059 	12 30 56.0	-05 56 47	12 33 30.8	-06 13 19	   0.74	 0.06	 	   	
12 33 36.3	-34 10 27	1230-338 	12 30 56.2	-33 53 54	12 33 36.3	-34 10 26	   1.12	 0.07	 	   	 P
12 33 40.6	-37 42 02	1230-374 	12 30 59.6	-37 25 30	12 33 40.6	-37 42 02	   0.90	 0.05	 	   	 P
12 33 39.5	-29 35 09	1231-293 	12 31 00.4	-29 18 37	12 33 39.5	-29 35 09	   0.87	 0.07	 	   	
12 34 03.4	-01 52 04	1231-015 	12 31 29.4	-01 35 32	12 34 03.5	-01 52 04	   0.82	 0.04	 	   	 P
12 34 41.8	-69 02 01	1231-687 	12 31 43.0	-68 45 29	12 34 41.8	-69 02 01	   1.10	 0.05	 	   	
12 34 28.7	+08 30 00	1231+087 	12 31 56.4	+08 46 32	12 34 28.7	+08 30 01	   0.84	 0.07	 	   	
12 34 44.2	-54 35 30	1231-543 	12 31 56.9	-54 18 58	12 34 44.2	-54 35 30	   1.37	 0.05	 	   	
12 34 50.0	+16 46 56	1232+170 	12 32 19.2	+17 03 27	12 34 50.0	+16 46 56	   0.91	 0.05	 	   	
12 35 23.8	-43 12 49	1232-429 	12 32 40.8	-42 56 18	12 35 23.8	-43 12 49	   0.82	 0.07	 	   	 P
12 35 25.1	-33 22 43	1232-331 	12 32 44.9	-33 06 12	12 35 25.2	-33 22 43	   1.79	 0.08	 	   	 P
12 35 22.1	+12 11 52	1232+124 	12 32 50.5	+12 28 23	12 35 22.1	+12 11 52	   0.76	 0.06	 	   	
12 35 41.8	-41 53 21	1232-416 	12 32 59.1	-41 36 50	12 35 41.8	-41 53 21	   5.33	 0.24	 	   	 P
12 35 37.6	-25 12 10	1232-249 	12 32 59.2	-24 55 39	12 35 37.6	-25 12 10	   5.10	 0.10	 	E  	 P
12 36 04.1	+10 34 36	1233+108 	12 33 32.3	+10 51 07	12 36 04.2	+10 34 37	   0.77	 0.06	 	   	
12 36 07.5	+16 38 41	1233+169 	12 33 36.8	+16 55 12	12 36 07.5	+16 38 42	   1.60	 0.09	 	   	
12 36 35.1	-55 56 45	1233-556 	12 33 46.3	-55 40 14	12 36 35.1	-55 56 45	   1.15	 0.07	 	   	
12 36 58.9	-74 19 58	1233-740 	12 33 48.8	-74 03 27	12 36 58.9	-74 19 57	   1.16	 0.07	 	   	 P
12 36 29.1	+16 32 05	1233+168 	12 33 58.4	+16 48 35	12 36 29.1	+16 32 05	   3.88	 0.31	 	   	 P
12 36 37.9	+12 58 49	1234+132 	12 34 06.5	+13 15 19	12 36 37.9	+12 58 49	   1.45	 0.08	 	   	
